Time,Execution Time
Thu Nov 26 15:22:07 2020,0.4289379119873047
Thu Nov 26 15:22:09 2020,0.38420987129211426
Thu Nov 26 15:22:10 2020,0.40496277809143066
Thu Nov 26 15:22:11 2020,0.41276025772094727
Thu Nov 26 15:22:13 2020,0.40651488304138184
Thu Nov 26 15:22:14 2020,0.39802980422973633
Thu Nov 26 15:22:16 2020,0.445159912109375
Thu Nov 26 15:22:17 2020,0.41247105598449707
Thu Nov 26 15:22:19 2020,0.38143086433410645
Thu Nov 26 15:22:20 2020,0.4278559684753418
Thu Nov 26 15:22:21 2020,0.39412713050842285
Thu Nov 26 15:22:23 2020,0.4257519245147705
Thu Nov 26 15:22:24 2020,0.42536187171936035
Thu Nov 26 15:22:26 2020,0.38863587379455566
Thu Nov 26 15:22:27 2020,0.3929610252380371
Thu Nov 26 15:22:28 2020,0.4456918239593506
Thu Nov 26 15:22:30 2020,0.3971378803253174
Thu Nov 26 15:22:31 2020,0.40065574645996094
Thu Nov 26 15:22:33 2020,0.4363830089569092
Thu Nov 26 15:22:34 2020,0.39119625091552734
Thu Nov 26 15:22:36 2020,0.42819809913635254
Thu Nov 26 15:22:37 2020,0.4066488742828369
Thu Nov 26 15:22:38 2020,0.4056529998779297
Thu Nov 26 15:22:40 2020,0.3278369903564453
Thu Nov 26 15:22:41 2020,0.40292978286743164
Thu Nov 26 15:22:42 2020,0.4006469249725342
Thu Nov 26 15:22:44 2020,0.40816783905029297
Thu Nov 26 15:22:45 2020,0.43916893005371094
Thu Nov 26 15:22:47 2020,0.4522409439086914
Thu Nov 26 15:22:48 2020,0.39490771293640137
Thu Nov 26 15:22:50 2020,0.4254000186920166
Thu Nov 26 15:22:51 2020,0.39961695671081543
Thu Nov 26 15:22:52 2020,0.393218994140625
Thu Nov 26 15:22:54 2020,0.4246840476989746
Thu Nov 26 15:22:55 2020,0.3956620693206787
Thu Nov 26 15:22:57 2020,0.43082690238952637
Thu Nov 26 15:22:58 2020,0.4153878688812256
Thu Nov 26 15:23:00 2020,0.4316139221191406
Thu Nov 26 15:23:01 2020,0.3935680389404297
Thu Nov 26 15:23:02 2020,0.3961169719696045
Thu Nov 26 15:23:04 2020,0.3890669345855713
Thu Nov 26 15:23:05 2020,0.38262200355529785
Thu Nov 26 15:23:07 2020,0.398313045501709
Thu Nov 26 15:23:08 2020,0.4069058895111084
Thu Nov 26 15:23:09 2020,0.38134098052978516
Thu Nov 26 15:23:11 2020,0.40729188919067383
Thu Nov 26 15:23:12 2020,0.4215848445892334
Thu Nov 26 15:23:14 2020,0.3956930637359619
Thu Nov 26 15:23:15 2020,0.4411790370941162
Thu Nov 26 15:23:16 2020,0.3908417224884033
Thu Nov 26 15:23:18 2020,0.43000125885009766
Thu Nov 26 15:23:19 2020,0.4065561294555664
Thu Nov 26 15:23:21 2020,0.4046342372894287
Thu Nov 26 15:23:22 2020,0.42314887046813965
Thu Nov 26 15:23:23 2020,0.43292713165283203
Thu Nov 26 15:23:25 2020,0.40976524353027344
Thu Nov 26 15:23:26 2020,0.39620208740234375
Thu Nov 26 15:23:28 2020,0.45126891136169434
Thu Nov 26 15:23:29 2020,0.3878328800201416
Thu Nov 26 15:23:31 2020,0.4320662021636963
Thu Nov 26 15:23:32 2020,0.4640231132507324
Thu Nov 26 15:23:33 2020,0.4238748550415039
Thu Nov 26 15:23:35 2020,0.4269678592681885
Thu Nov 26 15:23:36 2020,0.4309258460998535
Thu Nov 26 15:23:38 2020,0.4176669120788574
